Question_Number,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Handbook_Reference
198,"What should you do when approaching a fresh green light?","Speed up","Maintain speed","Check for red light runners","Sound horn",C,"Chapter 5 - Traffic Laws"
199,"What does a narrow bridge sign mean?","Bridge ahead","Reduced lanes on bridge","Weight restriction","Height restriction",B,"Chapter 1 - Signs, Signals and Road Markings"
200,"When is it acceptable to exceed the speed limit?","Never","In emergencies","When passing","On empty roads",A,"Chapter 5 - Traffic Laws"
201,"What does a rectangular white sign with black text indicate?","Warning","Regulatory","Informational","Construction",C,"Chapter 1 - Signs, Signals and Road Markings"
202,"A sign showing a red circle with a diagonal red line means:","Warning","Prohibition","Information","Direction",B,"Chapter 1 - Signs, Signals and Road Markings"
203,"What does a blue circular sign indicate?","Mandatory action","Information","Warning","Prohibition",A,"Chapter 1 - Signs, Signals and Road Markings"
204,"A brown sign typically indicates:","Construction","Tourist information","Warning","Speed limit",B,"Chapter 1 - Signs, Signals and Road Markings"
205,"What does a green sign typically show?","Warnings","Directions and distances","Regulations","Construction",B,"Chapter 1 - Signs, Signals and Road Markings"
206,"A flashing amber light at an intersection means:","Stop completely","Proceed with caution","Yield to cross traffic","Speed up",B,"Chapter 5 - Traffic Laws"
207,"What does a lane control signal X mean?","Lane closed","Proceed in lane","Caution in lane","Turn only",A,"Chapter 1 - Signs, Signals and Road Markings"
208,"A green arrow pointing down over a lane means:","Lane closed","Proceed in this lane","Caution","Turn required",B,"Chapter 1 - Signs, Signals and Road Markings"
209,"What does a white reflector on the road indicate?","Lane divider","Left edge of road","Right edge of road","Center line",A,"Chapter 1 - Signs, Signals and Road Markings"
210,"Red reflectors on the road indicate:","Lane divider","Wrong way driving","Right edge","Left edge",B,"Chapter 1 - Signs, Signals and Road Markings"
211,"Yellow reflectors typically mark:","Lane dividers","Center line","Road edge","Crosswalk",B,"Chapter 1 - Signs, Signals and Road Markings"
212,"What do blue reflectors on the road indicate?","Fire hydrant location","Police station","Hospital","School zone",A,"Chapter 1 - Signs, Signals and Road Markings"
213,"A chevron sign indicates:","Sharp curve direction","Speed limit","Construction","Parking",A,"Chapter 1 - Signs, Signals and Road Markings"
214,"What does a pennant-shaped sign warn of?","School zone","No passing zone","Construction","Railroad",B,"Chapter 1 - Signs, Signals and Road Markings"
215,"An octagonal sign is always:","Red","A stop sign","At intersections","Regulatory",B,"Chapter 1 - Signs, Signals and Road Markings"
216,"What does a crossbuck sign indicate?","Four-way stop","Pedestrian crossing","Railway crossing","School crossing",C,"Chapter 1 - Signs, Signals and Road Markings"
217,"A sign with a bicycle symbol and 'XING' means:","Bicycle lane","Bicycle crossing","No bicycles","Bicycle parking",B,"Chapter 1 - Signs, Signals and Road Markings"
218,"What does 'PED XING' on a sign mean?","Pedestrian crossing","Pedestrian zone","No pedestrians","Pedestrian bridge",A,"Chapter 1 - Signs, Signals and Road Markings"
219,"A sign showing two cars with an arrow means:","Passing zone","No passing","Lane change required","Merge ahead",A,"Chapter 1 - Signs, Signals and Road Markings"
220,"What does a 'WRONG WAY' sign indicate?","Turn around","You're going opposite to traffic flow","Road closed","Detour ahead",B,"Chapter 1 - Signs, Signals and Road Markings"
221,"How long can you hold a G1 licence without upgrading?","3 years","5 years","7 years","Indefinitely",B,"Chapter 2 - Your Driver's Licence"
222,"What happens if your G1 licence expires?","Automatic renewal","Must retake written test","30-day grace period","Converted to G2",B,"Chapter 2 - Your Driver's Licence"
223,"With a G1 licence, you cannot drive between:","10 PM and 6 AM","11 PM and 5 AM","Midnight and 5 AM","9 PM and 6 AM",C,"Chapter 2 - Your Driver's Licence"
224,"A G1 driver must be accompanied by someone with:","Any licence","G2 licence minimum","Full G licence with 4+ years experience","Any experienced driver",C,"Chapter 2 - Your Driver's Licence"
225,"What is the vision requirement for a driver's licence?","20/20","20/40 or better","20/50 or better","No specific requirement",C,"Chapter 2 - Your Driver's Licence"
226,"How often must drivers over 80 renew their licence?","Every year","Every 2 years","Every 3 years","Every 5 years",B,"Chapter 2 - Your Driver's Licence"
227,"What must you report to the MTO within 6 days?","Address change","Name change","Medical condition affecting driving","Vehicle sale",C,"Chapter 2 - Your Driver's Licence"
228,"If you move to Ontario from another country, when must you get an Ontario licence?","Immediately","Within 30 days","Within 60 days","Within 90 days",C,"Chapter 2 - Your Driver's Licence"
229,"What is required to take the G2 road test?","G1 for 8 months","G1 for 12 months or 8 months with driver education","Valid health card","Vehicle ownership",B,"Chapter 2 - Your Driver's Licence"
230,"A G2 driver cannot have any alcohol in their system for how long?","6 months","12 months","Until age 21 or 5 years, whichever is longer","Permanently",C,"Chapter 2 - Your Driver's Licence"
231,"What must you do if you change your address?","Nothing required","Notify within 6 days","Notify within 30 days","Get new licence",A,"Chapter 2 - Your Driver's Licence"
232,"If your licence is suspended, when can you drive again?","Immediately after paying fines","After suspension period and any requirements met","30 days later","When you feel ready",B,"Chapter 2 - Your Driver's Licence"
233,"What is the minimum tire tread depth in Ontario?","1.0 mm","1.6 mm","2.0 mm","3.2 mm",B,"Chapter 3 - Getting Ready to Drive"
234,"How often should you check your tire pressure?","Daily","Weekly","Monthly","When tires look flat",C,"Chapter 3 - Getting Ready to Drive"
235,"What should the proper tire pressure be?","Maximum on tire sidewall","Minimum on tire sidewall","As recommended in owner's manual","All tires the same",C,"Chapter 3 - Getting Ready to Drive"
236,"How can you check if your headlights are properly aimed?","Visual inspection only","Against a wall at 7.5 metres","Professional adjustment only","They're always correct",B,"Chapter 3 - Getting Ready to Drive"
237,"When should you replace your air filter?","Every 6 months","When dirty or as recommended","Only when engine problems occur","Never needs replacement",B,"Chapter 3 - Getting Ready to Drive"
238,"How often should you check your oil level?","Daily","Weekly","Every time you get gas","Monthly",C,"Chapter 3 - Getting Ready to Drive"
239,"What colour should engine coolant be?","Always green","Clear","Green, orange, or pink depending on type","Always blue",C,"Chapter 3 - Getting Ready to Drive"
240,"When should you check your brake fluid?","Monthly","Only when brakes feel soft","During regular maintenance","Never check yourself",C,"Chapter 3 - Getting Ready to Drive"
241,"What does ABS stand for?","Anti-Brake System","Anti-lock Braking System","Automatic Brake System","Advanced Braking System",B,"Chapter 3 - Getting Ready to Drive"
242,"If your ABS warning light stays on, you should:","Continue driving normally","Have it serviced soon","Stop driving immediately","Pump the brakes",B,"Chapter 3 - Getting Ready to Drive"
243,"What should you do if your temperature gauge shows overheating?","Continue to nearest service station","Stop immediately and let cool","Add water while engine running","Turn heat on full",B,"Chapter 3 - Getting Ready to Drive"
244,"How should you clean your windshield?","With paper towels only","With appropriate cleaner and soft cloth","Water only","Any household cleaner",B,"Chapter 3 - Getting Ready to Drive"
245,"When should you use your defroster?","Only in winter","When windshield fogs up","Before every trip","Only at night",B,"Chapter 3 - Getting Ready to Drive"
246,"What is the proper following distance in ideal conditions?","1 second per 10 km/h","2-second rule","3-second rule","4-second rule",C,"Chapter 4 - Safe and Responsible Driving"
247,"In wet conditions, increase following distance to:","3 seconds","4 seconds","6 seconds","8 seconds",C,"Chapter 4 - Safe and Responsible Driving"
248,"In icy conditions, increase following distance to:","4 seconds","6 seconds","8 seconds","10 seconds",C,"Chapter 4 - Safe and Responsible Driving"
249,"When driving in heavy rain, you should:","Use high beams","Increase speed to get through faster","Turn on hazard lights","Reduce speed and increase following distance",D,"Chapter 4 - Safe and Responsible Driving"
250,"What is aquaplaning (hydroplaning)?","Tire overheating","Loss of traction on wet roads","Brake failure","Steering problems",B,"Chapter 4 - Safe and Responsible Driving"
251,"To avoid hydroplaning, you should:","Drive faster","Keep tires properly inflated","Use worn tires","Brake hard in puddles",B,"Chapter 4 - Safe and Responsible Driving"
252,"In fog with visibility less than 150 metres, you should:","Use high beams","Use low beams and fog lights","Use parking lights only","Pull over and wait",B,"Chapter 4 - Safe and Responsible Driving"
253,"When driving in snow, you should:","Use cruise control","Accelerate and brake gradually","Drive at normal speeds","Follow closer to other vehicles",B,"Chapter 4 - Safe and Responsible Driving"
254,"What causes most skids?","Mechanical failure","Driving too fast for conditions","Poor road maintenance","Other drivers",B,"Chapter 4 - Safe and Responsible Driving"
255,"If your vehicle goes into a front-wheel skid:","Steer in direction of skid","Brake hard","Ease off gas and steer where you want to go","Accelerate",C,"Chapter 4 - Safe and Responsible Driving"
256,"If your rear wheels skid to the right:","Steer left","Steer right","Brake hard","Don't turn steering wheel",B,"Chapter 4 - Safe and Responsible Driving"
257,"When driving at night, you should:","Always use high beams","Drive within your headlight range","Drive faster to reduce exposure time","Use parking lights in the city",B,"Chapter 4 - Safe and Responsible Driving"
258,"Your headlights should illuminate the road ahead for:","50 metres","100 metres","150 metres","As far as possible",C,"Chapter 4 - Safe and Responsible Driving"
259,"When should you dim your high beams?","Never","Within 150 metres of oncoming traffic","Within 300 metres of oncoming traffic","Only when asked",B,"Chapter 4 - Safe and Responsible Driving"
260,"How far behind another vehicle should you dim your high beams?","30 metres","60 metres","100 metres","150 metres",B,"Chapter 4 - Safe and Responsible Driving"
261,"What should you do when an oncoming vehicle doesn't dim their lights?","Flash your high beams","Look to the right edge of the road","Stare at their lights","Speed up to pass them",B,"Chapter 4 - Safe and Responsible Driving"
262,"Fatigue is most dangerous when driving:","In the morning","At night","During rush hour","On weekends",B,"Chapter 4 - Safe and Responsible Driving"
263,"What is the best way to stay alert while driving?","Drink coffee","Roll down windows","Take regular breaks","Turn up radio",C,"Chapter 4 - Safe and Responsible Driving"
264,"You should take a break from driving every:","30 minutes","1 hour","2 hours","4 hours",C,"Chapter 4 - Safe and Responsible Driving"
265,"What is road rage?","Mechanical problems","Aggressive driving behavior","Traffic congestion","Poor road conditions",B,"Chapter 4 - Safe and Responsible Driving"
266,"If confronted by an aggressive driver, you should:","Fight back","Avoid eye contact and stay calm","Speed up","Block their path",B,"Chapter 4 - Safe and Responsible Driving"
267,"The most common cause of collisions is:","Mechanical failure","Weather","Driver error","Poor road design",C,"Chapter 4 - Safe and Responsible Driving"
268,"What should you do at an uncontrolled intersection?","Go first","Yield to traffic from the right","Stop completely","Sound your horn",B,"Chapter 5 - Traffic Laws"
269,"When two vehicles arrive at a 4-way stop simultaneously:","Left turn yields","Right turn has right-of-way","Vehicle on right goes first","Larger vehicle goes first",C,"Chapter 5 - Traffic Laws"
270,"When turning left, you must yield to:","Oncoming traffic","Pedestrians","Both oncoming traffic and pedestrians","No one",C,"Chapter 5 - Traffic Laws"
271,"At a T-intersection, who has right-of-way?","Vehicle turning","Traffic on the through road","First to arrive","Largest vehicle",B,"Chapter 5 - Traffic Laws"
272,"When entering a traffic circle, you must:","Stop first","Speed up","Yield to traffic in the circle","Sound your horn",C,"Chapter 5 - Traffic Laws"
273,"How do you exit a traffic circle?","Signal left","Signal right","No signal needed","Signal when entering",B,"Chapter 5 - Traffic Laws"
274,"When changing lanes, you must:","Signal for 3 seconds","Check blind spots","Yield to traffic in that lane","All of the above",D,"Chapter 5 - Traffic Laws"
275,"You may not change lanes:","On curves","Near intersections","In construction zones","All of the above",D,"Chapter 5 - Traffic Laws"
276,"When is it legal to exceed the speed limit?","Never","When passing","In emergencies","On empty roads",A,"Chapter 5 - Traffic Laws"
277,"What is the speed limit near schools when children are present?","30 km/h","40 km/h","50 km/h","Whatever is posted",B,"Chapter 5 - Traffic Laws"
278,"In a community safety zone, fines are:","The same","Doubled","Tripled","Reduced",B,"Chapter 5 - Traffic Laws"
279,"You must not park within how many metres of a railway crossing?","5 metres","9 metres","15 metres","30 metres",D,"Chapter 5 - Traffic Laws"
280,"When approaching a railway crossing with flashing lights:","Slow down and proceed","Stop at least 5 metres back","Stop at least 1.5 metres back","Sound horn and proceed",C,"Chapter 5 - Traffic Laws"
281,"You may pass on the right when:","The vehicle ahead is turning left","On any multi-lane road","The shoulder is paved","It's always illegal",A,"Chapter 5 - Traffic Laws"
282,"Where is passing prohibited?","On hills","On curves","Near intersections","All of the above",D,"Chapter 5 - Traffic Laws"
283,"You must signal before turning for at least:","30 metres","60 metres","100 metres","150 metres",A,"Chapter 5 - Traffic Laws"
284,"When may you make a U-turn?","Anytime it's safe","Only where permitted","Never on highways","Only at intersections",B,"Chapter 5 - Traffic Laws"
285,"U-turns are prohibited:","On curves","Near hills","Near intersections","All of the above",D,"Chapter 5 - Traffic Laws"
286,"When turning right on a red light, you must:","Stop first","Yield to pedestrians","Yield to all traffic","All of the above",D,"Chapter 5 - Traffic Laws"
287,"You may not turn right on red:","At any intersection","When signs prohibit it","During rush hour","At night",B,"Chapter 5 - Traffic Laws"
288,"When entering a freeway, you should:","Stop at the end of the ramp","Accelerate to match traffic speed","Enter slowly","Sound your horn",B,"Chapter 5 - Traffic Laws"
289,"The left lane on a multi-lane highway is for:","Faster traffic","Passing only","Trucks only","Any vehicle",A,"Chapter 5 - Traffic Laws"
290,"You should drive in the right lane when:","Going slower than traffic flow","Not passing other vehicles","Traffic is light","All of the above",D,"Chapter 5 - Traffic Laws"
291,"How far from a bus stop must you not park?","3 metres","6 metres","9 metres","15 metres",C,"Chapter 6 - Parking"
292,"You may not park within how many metres of a fire hydrant?","3 metres","6 metres","9 metres","15 metres",C,"Chapter 6 - Parking"
293,"How close to a crosswalk may you park?","3 metres","6 metres","9 metres","No restriction",C,"Chapter 6 - Parking"
294,"You may not park within how many metres of a stop sign?","3 metres","6 metres","9 metres","15 metres",C,"Chapter 6 - Parking"
295,"When parallel parking, you should be within what distance of the curb?","15 cm","30 cm","50 cm","1 metre",B,"Chapter 6 - Parking"
296,"When parking on a hill, you should:","Leave in gear","Set parking brake","Turn wheels appropriately","All of the above",D,"Chapter 6 - Parking"
297,"When leaving a parking space, you must:","Signal your intention","Check mirrors and blind spots","Yield to traffic","All of the above",D,"Chapter 6 - Parking"
298,"You may not park:","On a bridge","In a tunnel","On a sidewalk","All of the above",D,"Chapter 6 - Parking"
299,"In angle parking, you should park:","At any angle","Centered in the space","As close to other cars as possible","Quickly",B,"Chapter 6 - Parking"
300,"When backing out of a parking space:","Back out quickly","Sound horn first","Look all around and back slowly","Just use mirrors",C,"Chapter 6 - Parking"
301,"If your engine stalls in traffic:","Leave it and walk away","Try to restart while in traffic","Signal for help and move to safety if possible","Abandon the vehicle",C,"Chapter 7 - Dealing with Particular Situations"
302,"If your brakes fail completely:","Pump the brake pedal","Apply parking brake gradually","Shift to lower gear","All of the above",D,"Chapter 7 - Dealing with Particular Situations"
303,"If your accelerator sticks:","Turn off ignition immediately","Shift to neutral","Brake hard","All of the above",B,"Chapter 7 - Dealing with Particular Situations"
304,"If your steering fails:","Brake immediately","Ease off the gas","Try to steer to safety","Both B and C",D,"Chapter 7 - Dealing with Particular Situations"
305,"If you have a tire blowout:","Brake hard immediately","Grip wheel firmly and slow gradually","Turn sharply","Speed up",B,"Chapter 7 - Dealing with Particular Situations"
306,"If your headlights fail at night:","Use parking lights","Use hazard flashers","Pull over safely","Continue to destination",C,"Chapter 7 - Dealing with Particular Situations"
307,"If you're in a collision, first:","Move vehicles out of traffic","Check for injuries","Call police","Exchange information",B,"Chapter 7 - Dealing with Particular Situations"
308,"You must report a collision to police if:","Any damage occurs","Damage exceeds $2000","Someone is injured","Either B or C",D,"Chapter 7 - Dealing with Particular Situations"
309,"If your vehicle catches fire:","Try to put it out yourself","Drive to nearest service station","Get everyone out and call 911","Open the hood to see the problem",C,"Chapter 7 - Dealing with Particular Situations"
310,"If you go off the road:","Turn sharply back onto road","Grip wheel firmly and slow gradually","Brake hard","Speed up",B,"Chapter 7 - Dealing with Particular Situations"
311,"When driving near pedestrians, you should:","Sound horn to warn them","Slow down and be prepared to stop","Speed up to get past them","Flash your lights",B,"Chapter 8 - Sharing the Road"
312,"Pedestrians have right-of-way:","Only at crosswalks","At all intersections","Anywhere on the road","Only when signals indicate",B,"Chapter 8 - Sharing the Road"
313,"When a pedestrian is crossing illegally, you should:","Sound horn loudly","Maintain speed and right-of-way","Still avoid hitting them","Flash your lights angrily",C,"Chapter 8 - Sharing the Road"
314,"You see a pedestrian with a white cane, you should:","Offer to help","Sound horn to alert them","Stop and yield right-of-way","Drive normally",C,"Chapter 8 - Sharing the Road"
315,"A guide dog is identified by:","Red collar","Special harness","White cane","Owner's uniform",B,"Chapter 8 - Sharing the Road"
316,"When driving near cyclists:","Treat them like vehicles","Pass as close as possible","Sound horn frequently","Speed up to pass quickly",A,"Chapter 8 - Sharing the Road"
317,"You must leave at least how much space when passing a cyclist?","0.5 metres","1 metre","1.5 metres","2 metres",B,"Chapter 8 - Sharing the Road"
318,"Cyclists are required to:","Ride on sidewalks","Obey traffic laws","Use bike lanes only","Wear helmets",B,"Chapter 8 - Sharing the Road"
319,"When turning right and a cyclist is present:","You have right-of-way","The cyclist has right-of-way","Whoever is faster goes first","Sound horn and proceed",B,"Chapter 8 - Sharing the Road"
320,"Motorcyclists are entitled to:","Half a lane","A full lane","Share lanes with cars","Use shoulders",B,"Chapter 8 - Sharing the Road"
321,"When following a motorcycle:","Follow closer than cars","Follow at same distance as cars","Increase following distance","Try to pass quickly",C,"Chapter 8 - Sharing the Road"
322,"Large trucks have:","Shorter stopping distances","Larger blind spots","Better visibility","Right-of-way",B,"Chapter 8 - Sharing the Road"
323,"You should not follow closely behind trucks because:","They stop quickly","They have large blind spots","They might back up","All of the above",B,"Chapter 8 - Sharing the Road"
324,"When passing a large truck:","Pass on the right","Pass quickly and completely","Pass slowly","Don't signal",B,"Chapter 8 - Sharing the Road"
325,"School buses with flashing red lights:","May be passed carefully","Must not be passed from any direction","May be passed on the left only","May be passed if no children visible",B,"Chapter 8 - Sharing the Road"
326,"You may pass a stopped school bus:","If lights aren't flashing","If no children are visible","If you're on a divided highway going opposite direction","Never",C,"Chapter 8 - Sharing the Road"
327,"When an emergency vehicle approaches from behind:","Speed up","Move to right and stop","Continue normally","Move to left",B,"Chapter 8 - Sharing the Road"
328,"You must move over for:","Police vehicles","Fire trucks","Ambulances","All emergency vehicles",D,"Chapter 8 - Sharing the Road"
329,"If you can't pull over for emergency vehicles:","Speed up","Slow down and stay right","Stop where you are","Change lanes",B,"Chapter 8 - Sharing the Road"
330,"Construction zone speed limits:","Are suggestions","Must be obeyed","Apply only during work hours","Are doubled",B,"Chapter 8 - Sharing the Road"
331,"In construction zones you should:","Maintain normal speed","Speed up to get through quickly","Slow down and follow signs","Change lanes frequently",C,"Chapter 8 - Sharing the Road"
332,"Highway maintenance vehicles:","Have no special rights","Have right-of-way when working","Must yield to traffic","Work only at night",B,"Chapter 8 - Sharing the Road"
333,"What is the penalty for impaired driving (first offense)?","Warning only","$600 fine and 1-year suspension minimum","$1000 fine and 1-year suspension minimum","License suspension only",C,"Chapter 9 - Penalties"
334,"Novice drivers (G1/G2) with any alcohol face:","Warning","24-hour suspension","30-day suspension","90-day suspension",C,"Chapter 9 - Penalties"
335,"Street racing penalties include:","Fine only","Vehicle impoundment","Licence suspension","All of the above",D,"Chapter 9 - Penalties"
336,"Careless driving can result in:","Warning","$400-$2000 fine and licence suspension","$100 fine","Verbal warning",B,"Chapter 9 - Penalties"
337,"How many demerit points for speeding 16-29 km/h over?","2 points","3 points","4 points","6 points",B,"Chapter 9 - Penalties"
338,"How many demerit points for running a red light?","2 points","3 points","4 points","6 points",B,"Chapter 9 - Penalties"
339,"Failing to stop for a school bus results in:","3 demerit points","6 demerit points","9 demerit points","12 demerit points",B,"Chapter 9 - Penalties"
340,"How many demerit points result in licence suspension for fully licensed drivers?","6 points","9 points","12 points","15 points",D,"Chapter 9 - Penalties"
341,"Demerit points remain on your record for:","1 year","2 years","3 years","5 years",B,"Chapter 9 - Penalties"
342,"If you accumulate too many points:","Nothing happens","You get a warning letter","You must attend an interview","You could lose your licence",D,"Chapter 9 - Penalties"
343,"Refusing a breathalyzer test results in:","No penalty","Same penalty as impaired driving","Lesser penalty","Warning only",B,"Chapter 9 - Penalties"
344,"The penalty for driving without insurance includes:","Fine only","Licence suspension only","Fine and licence suspension","Vehicle impoundment",C,"Chapter 9 - Penalties"
345,"Using a handheld device while driving results in:","Warning","$615 fine and 3 demerit points","$200 fine","Licence suspension",B,"Chapter 9 - Penalties"
346,"What does a solid yellow line on your left mean?","You may pass","Passing prohibited in your direction","Two-way traffic","Construction zone",B,"Chapter 1 - Signs, Signals and Road Markings"
347,"Double solid yellow lines mean:","Passing allowed","No passing either direction","Lane change prohibited","Center divider",B,"Chapter 1 - Signs, Signals and Road Markings"
348,"A broken yellow line on your side means:","No passing","Passing allowed when safe","Lane ends","Construction",B,"Chapter 1 - Signs, Signals and Road Markings"
349,"What do zigzag lines near a crosswalk mean?","No parking or stopping","Pedestrian crossing","School zone","Construction",A,"Chapter 1 - Signs, Signals and Road Markings"
350,"Rumble strips are used to:","Slow traffic","Alert drowsy drivers","Mark construction","Separate lanes",B,"Chapter 1 - Signs, Signals and Road Markings"
351,"What does a thick white line across your lane mean?","Speed up","Stop line","Lane change","Merge",B,"Chapter 1 - Signs, Signals and Road Markings"
352,"Hatched markings on the road indicate:","No driving zone","Passing zone","Parking area","Turn lane",A,"Chapter 1 - Signs, Signals and Road Markings"
353,"A diamond painted on the road indicates:","HOV lane","Bus lane","Bicycle lane","Reserved lane",D,"Chapter 1 - Signs, Signals and Road Markings"
354,"What does 'ONLY' painted on the road mean?","Speed limit","Lane restriction","Parking only","Emergency only",B,"Chapter 1 - Signs, Signals and Road Markings"
355,"Arrows painted on the road indicate:","Speed limit","Direction of travel","Parking spots","Construction",B,"Chapter 1 - Signs, Signals and Road Markings"
356,"What does a painted bicycle symbol mean?","Bicycle crossing","Bicycle lane","No bicycles","Bicycle parking",B,"Chapter 1 - Signs, Signals and Road Markings"
357,"Words painted on the road:","Are suggestions","Must be obeyed","Are decorative","Apply only to trucks",B,"Chapter 1 - Signs, Signals and Road Markings"
358,"What does 'SCHOOL' painted on the road indicate?","School zone ahead","School bus stop","Reduced speed zone","Children crossing",A,"Chapter 1 - Signs, Signals and Road Markings"
359,"A fire route sign means:","Fire trucks only","No parking - tow away zone","Reduced speed","Fire station ahead",B,"Chapter 1 - Signs, Signals and Road Markings"
360,"What does a 'No Standing' sign mean?","No stopping for any reason","No parking","No waiting with vehicle","No commercial vehicles",A,"Chapter 1 - Signs, Signals and Road Markings"
361,"A 'Loading Zone' sign means:","Anyone can park","Commercial vehicles only during posted hours","No parking ever","Parking for 15 minutes only",B,"Chapter 1 - Signs, Signals and Road Markings"
362,"What does a 'Permit Parking Only' sign mean?","Anyone with a permit","Residents with permits only","Disabled parking only","Commercial permits",B,"Chapter 1 - Signs, Signals and Road Markings"
363,"Time limit parking signs apply:","24 hours a day","During posted hours only","Monday to Friday only","When enforcement officers are present",B,"Chapter 1 - Signs, Signals and Road Markings"
364,"A 'Tow Away Zone' sign means:","Warnings only","Your vehicle may be towed","Tow trucks working","No meaning",B,"Chapter 1 - Signs, Signals and Road Markings"
365,"What does 'Except Sunday' on a parking sign mean?","Restrictions don't apply Sunday","Restrictions only apply Sunday","Sunday parking is free","Sunday is doubled time",A,"Chapter 1 - Signs, Signals and Road Markings"
366,"A sign showing '2 Hour Parking 9 AM - 6 PM' means:","Park for 2 hours anytime","Park for 2 hours during those times only","No parking during those hours","Free parking after 6 PM",B,"Chapter 1 - Signs, Signals and Road Markings"
367,"What does a wheelchair symbol on a sign indicate?","Hospital zone","Accessible parking for disabled persons","Senior citizen area","Medical building",B,"Chapter 1 - Signs, Signals and Road Markings"
368,"Disabled parking spaces are:","Suggestions","Strictly enforced","For anyone in emergency","For small cars",B,"Chapter 1 - Signs, Signals and Road Markings"
369,"To park in a disabled space you need:","Visible disability","Valid permit","Doctor's note","Nothing special",B,"Chapter 1 - Signs, Signals and Road Markings"
370,"What does an 'Electric Vehicle Only' sign mean?","Hybrid vehicles allowed","Electric vehicles only during charging","Any environmentally friendly vehicle","Electric or hybrid vehicles",B,"Chapter 1 - Signs, Signals and Road Markings"
371,"A 'Compact Car Only' sign means:","Small cars only","Any car can park there","Motorcycles only","Emergency vehicles",A,"Chapter 1 - Signs, Signals and Road Markings"
372,"What does a 'Customer Parking Only' sign mean?","Anyone can park","Store customers only","Short term parking","Paid parking",B,"Chapter 1 - Signs, Signals and Road Markings"
373,"Maximum speed signs show:","Recommended speed","Legal speed limit you cannot exceed","Minimum safe speed","Average traffic speed",B,"Chapter 1 - Signs, Signals and Road Markings"
374,"Minimum speed signs show:","Recommended speed","Speed you cannot go below","Maximum safe speed","Suggested speed",B,"Chapter 1 - Signs, Signals and Road Markings"
375,"What does a 'Trucks Prohibited' sign mean?","No commercial vehicles","No vehicles over certain weight","Truck route ahead","Loading zone",B,"Chapter 1 - Signs, Signals and Road Markings"
376,"A 'Left Turn on Red Arrow Only' sign means:","Never turn left on red","Turn left only when green arrow shows","Turn left on red light","Left turns prohibited",B,"Chapter 1 - Signs, Signals and Road Markings"
377,"What does 'No Right Turn on Red' sign mean?","Never turn right","Cannot turn right when light is red","Right turns prohibited always","Turn right on green only",B,"Chapter 1 - Signs, Signals and Road Markings"
378,"A 'Yield to Pedestrians' sign means:","Pedestrians always have right-of-way","Give way to pedestrians when present","Stop for all pedestrians","Pedestrians must yield",B,"Chapter 1 - Signs, Signals and Road Markings"
379,"What does a 'Bus Lane' sign indicate?","Buses only during posted hours","No vehicles allowed","Buses and taxis only","Public transit vehicles only",A,"Chapter 1 - Signs, Signals and Road Markings"
380,"An HOV lane sign means:","High occupancy vehicles only","Heavy vehicles only","Highway only vehicles","Hybrid vehicles only",A,"Chapter 1 - Signs, Signals and Road Markings"
381,"What qualifies as an HOV vehicle?","Any vehicle","Vehicle with 2+ occupants","Hybrid vehicles only","Commercial vehicles",B,"Chapter 1 - Signs, Signals and Road Markings"
382,"Can motorcycles use HOV lanes?","Never","Yes, always","Only with passenger","Only during certain hours",B,"Chapter 1 - Signs, Signals and Road Markings"
383,"What does a 'Keep Right' sign mean?","Stay in right lane","Pass only on right","Traffic island ahead","Right turn only",C,"Chapter 1 - Signs, Signals and Road Markings"
384,"A 'Lane Ends' sign warns:","Construction ahead","Merge required","Speed reduction","Road closure",B,"Chapter 1 - Signs, Signals and Road Markings"
385,"What does a 'Detour' sign indicate?","Road closed ahead","Alternate route","Construction zone","Scenic route",B,"Chapter 1 - Signs, Signals and Road Markings"
386,"A 'Bridge Out' sign means:","Bridge under repair","Bridge weight limit","Bridge ahead","Bridge closed",D,"Chapter 1 - Signs, Signals and Road Markings"
387,"What does a 'Soft Shoulder' sign warn of?","Shoulder under construction","Unpaved shoulder edge","Narrow shoulder","No shoulder",B,"Chapter 1 - Signs, Signals and Road Markings"
388,"A 'Slippery When Wet' sign warns:","Road always slippery","Reduced traction in wet conditions","Construction zone","Bridge deck",B,"Chapter 1 - Signs, Signals and Road Markings"
389,"What does a 'Bump' sign indicate?","Construction ahead","Uneven road surface","Speed bump","Broken pavement",B,"Chapter 1 - Signs, Signals and Road Markings"
390,"A 'Dip' sign warns of:","Road construction","Low area in roadway","Hill ahead","Bridge approach",B,"Chapter 1 - Signs, Signals and Road Markings"
391,"When should you dim your high beams for oncoming motorcycles?","Same as for cars","Closer than for cars","Farther than for cars","Never dim for motorcycles",A,"Chapter 4 - Safe and Responsible Driving"
392,"In heavy fog, you should use:","High beam headlights","Low beam headlights and fog lights if equipped","Parking lights only","Emergency flashers",B,"Chapter 4 - Safe and Responsible Driving"
393,"What is the safest way to drive in fog?","Pull over and wait","Drive very slowly with hazards on","Use high beams to see better","Follow other vehicles closely",A,"Chapter 4 - Safe and Responsible Driving"
394,"Black ice is most likely to form:","In sunny weather","On bridges and overpasses","In parking lots","During heavy rain",B,"Chapter 4 - Safe and Responsible Driving"
395,"If you encounter black ice, you should:","Brake immediately","Steer sharply","Keep steering wheel straight and ease off gas","Speed up to get through it",C,"Chapter 4 - Safe and Responsible Driving"
